,predict
0,-0.2191655470074619
1,-0.2897283674088539
2,-0.2476716631559537
3,-0.3128771739398798
4,0.4309687154667773
5,-0.2803372911790501
6,-0.2806424470842029
7,-0.2194481456359352
8,-0.1451585489254211
9,-0.3017949257760773
10,-0.3024527697203593
11,-0.3215350748183408
12,-0.2140199950905224
13,-0.1419356018346587
14,-0.0530940155582283
15,-0.2097638501550972
16,-0.3058064745260634
17,-0.3016424492912773
18,-0.1424656657746635
19,-0.2044247724930682
20,-0.2371913424600205
21,-0.2889829165456757
22,-0.3323720014564896
23,-0.017798516143186
24,-0.0997497092799602
25,-0.160817974695048
26,-0.0997497092799602
27,-0.160817974695048
28,-0.0395196710456656
29,-0.1096225769475421
30,-0.0461069514136324
31,-0.0806583227641494
32,-0.0997497092799602
33,-0.0628614194725668
34,0.0547840861358127
35,0.2277009401408651
36,-0.0997497092799602
37,-0.0235223144123591
38,-0.1096225769475421
39,-0.0324242630309453
40,-0.0448968680762772
41,-0.2653542907488299
42,-0.2609200597285889
43,-0.2462146962849073
44,-0.2736505396083811
45,-0.2218584200478216
46,-0.3155505722575907
47,-0.1221873476702893
48,-0.3002106380705226
49,-0.2702560746698436
50,-0.3327931223799095
51,-0.2988003178657817
52,-0.2911493515099136
53,-0.2235425000077083
54,-0.2911493515099136
55,0.0071442630827806
56,-0.3609358921390521
57,-0.0518981725313932
58,0.5815293688760067
59,-0.3208064738597312
60,-0.1910396620265527
61,-0.1897958313098496
62,-0.3044609074564431
63,-0.2264192465123341
64,-0.3379738026238482
65,2.4937696777423373
66,-0.3307558606871607
67,-0.3357982392522826
68,-0.3034722365906345
69,-0.0054818093563807
70,-0.3150466657194483
71,-0.3061589557370024
72,-0.3328595143380807
73,-0.2360873115745488
74,-0.3958708500709617
75,-0.2714176382565637
76,-0.3142481197888555
77,-0.3269931181390274
78,-0.3261442492372152
79,-0.3164252012762444
80,-0.0650075566960294
81,-0.3238978837003669
82,-0.3062113383062678
83,-0.2536151899026589
