iter	RMSE
0	1.004730961
1	1.000598385
2	0.9968394428
3	0.9930102458
4	0.9888920825
5	0.9850011211
6	0.9812158079
7	0.9771456025
8	0.9730666586
9	0.9694360352
10	0.965772402
11	0.962036108
12	0.9583347314
13	0.9549359561
14	0.9511986842
15	0.9476608434
16	0.9440123611
17	0.9407152024
18	0.9371773814
19	0.9336508604
20	0.930250121
21	0.9269512825
22	0.9234193676
23	0.9200784846
24	0.9168474504
25	0.9138474965
26	0.910580308
27	0.9074161604
28	0.9040188579
29	0.9007620741
30	0.8976386302
31	0.8944383214
32	0.8914376175
33	0.888452642
34	0.8852627008
35	0.8821616842
36	0.879178104
37	0.8760967021
38	0.8731110683
39	0.8701216056
40	0.8670901679
41	0.8641163122
42	0.8612875878
43	0.8583259926
44	0.8554159729
45	0.8526421867
46	0.8497297691
47	0.8468431113
48	0.8441335592
49	0.8414845825
50	0.8385591197
51	0.83578865
52	0.8330705896
53	0.8304715755
54	0.8277924585
55	0.8250517213
56	0.8225210789
57	0.8198922725
58	0.8172078245
59	0.8147754487
60	0.8123004269
61	0.8096730875
62	0.8071342688
63	0.8045863632
64	0.802158167
65	0.799779274
66	0.7972188179
67	0.794999284
68	0.7925239736
69	0.7902762068
70	0.7878759673
71	0.7856051458
72	0.7832115975
73	0.7808537708
74	0.7784597389
75	0.776194138
76	0.7739429946
77	0.7716851946
78	0.7695170396
79	0.767208734
80	0.7650955203
81	0.7628024063
82	0.7607728703
83	0.7586303982
84	0.7565996893
85	0.7545437792
86	0.7522670337
87	0.7500798149
88	0.7480376057
89	0.7458955705
90	0.7437870703
91	0.7418522203
92	0.7398350181
93	0.7377731471
94	0.735925854
95	0.7338341041
96	0.7319470509
97	0.7299946383
98	0.7279696284
99	0.7260840324
100	0.7242148829
101	0.7223917184
102	0.7205751197
103	0.7187918749
104	0.7168650393
105	0.7150823422
106	0.7131977352
107	0.7113074731
108	0.7095381791
109	0.707825991
110	0.7059738602
111	0.7041337627
112	0.7024678323
113	0.7006442045
114	0.699052352
115	0.6972305871
116	0.6955072813
117	0.6937257597
118	0.6918800407
119	0.6901229663
120	0.6884727256
121	0.6869212758
122	0.6853146384
123	0.6837552552
124	0.6822469926
125	0.6805815454
126	0.6790144021
127	0.6773208891
128	0.675830427
129	0.6742532599
130	0.6726857354
131	0.6710706199
132	0.6695297867
133	0.6680184278
134	0.6664340987
135	0.6647857747
136	0.6631673496
137	0.6615582002
138	0.6600948029
139	0.6585591503
140	0.6570556439
141	0.6555088979
142	0.6539654485
143	0.652531991
144	0.6510878301
145	0.6496540731
146	0.6485168288
147	0.6472041364
148	0.6459295527
149	0.6445648798
150	0.6431776504
151	0.6418198074
152	0.6404386745
153	0.6391310377
154	0.6378766426
155	0.6364166448
156	0.6351921208
157	0.6339466392
158	0.632629624
159	0.6312582865
160	0.6299883888
161	0.6286811452
162	0.6274077122
163	0.6260773051
164	0.6247829087
165	0.6237609097
166	0.6225175608
167	0.6211621285
168	0.6199955649
169	0.6187260143
170	0.6174523217
171	0.6162696215
172	0.6149289822
173	0.6136948541
174	0.6126385265
175	0.6114910126
176	0.6102672835
177	0.6091336219
178	0.6080067961
179	0.6068574944
180	0.6055898037
181	0.6052856352
182	0.6040570262
183	0.6028031866
184	0.6019331144
185	0.6006915418
186	0.5994018593
187	0.5983409863
188	0.5970324723
189	0.5959411643
190	0.5948131238
191	0.5938452293
192	0.5928763553
193	0.5918526253
194	0.5908425445
195	0.5898567018
196	0.5889081825
197	0.5878163182
198	0.5866710848
199	0.5860587919
200	0.5849679033
201	0.5840338974
202	0.5829031483
203	0.5824143931
204	0.5815442451
205	0.5806367287
206	0.5795788578
207	0.5787161461
208	0.5777455287
209	0.5768574435
210	0.5759385592
211	0.5748535991
212	0.5737151052
213	0.5727285875
214	0.5717587543
215	0.570883781
216	0.5702611197
217	0.5698326879
218	0.568835122
219	0.5677781225
220	0.5667730941
221	0.5657826633
222	0.5647450588
223	0.5638199889
224	0.5628084155
