iter	Passed	Remaining
0	53	52984
1	58	28977
2	61	20463
3	64	16159
4	67	13474
5	71	11813
6	75	10656
7	78	9768
8	81	8962
9	84	8325
10	86	7806
11	89	7359
12	91	6976
13	94	6655
14	98	6454
15	101	6251
16	104	6058
17	107	5878
18	110	5702
19	112	5525
20	115	5394
21	118	5253
22	120	5125
23	122	4997
24	125	4880
25	127	4772
26	129	4674
27	132	4585
28	134	4499
29	138	4485
30	141	4436
31	144	4373
32	146	4303
33	149	4235
34	151	4177
35	153	4118
36	156	4077
37	159	4039
38	162	3996
39	164	3959
40	167	3924
41	170	3893
42	173	3864
43	175	3821
44	179	3816
45	182	3784
46	185	3760
47	188	3730
48	190	3704
49	193	3676
50	197	3679
51	201	3669
52	204	3649
53	206	3625
54	209	3597
55	211	3569
56	214	3542
57	217	3537
58	220	3521
59	224	3510
60	226	3493
61	229	3477
62	233	3466
63	236	3465
64	240	3456
65	242	3435
66	245	3412
67	247	3390
68	249	3369
69	251	3346
70	254	3331
71	259	3338
72	262	3338
73	266	3329
74	268	3316
75	271	3300
76	274	3289
77	276	3274
78	279	3257
79	281	3235
80	283	3216
81	285	3197
82	288	3183
83	290	3171
84	294	3165
85	298	3169
86	301	3164
87	304	3157
88	307	3143
89	309	3127
90	312	3119
91	315	3115
92	318	3102
93	320	3091
94	323	3083
95	326	3073
96	329	3065
97	331	3053
98	335	3050
99	338	3042
100	340	3028
101	342	3016
102	344	3002
103	347	2990
104	349	2977
105	351	2965
106	355	2962
107	357	2954
108	360	2948
109	363	2942
110	365	2930
111	368	2918
112	370	2905
113	371	2890
114	375	2889
115	378	2886
116	381	2879
117	383	2869
118	386	2861
119	389	2852
120	392	2848
121	395	2849
122	398	2841
123	400	2831
124	402	2819
125	404	2808
126	407	2800
127	409	2789
128	411	2778
129	415	2778
130	418	2775
131	421	2768
132	423	2763
133	425	2750
134	428	2744
135	430	2734
136	432	2725
137	435	2720
138	437	2712
139	440	2704
140	442	2696
141	444	2686
142	446	2677
143	449	2671
144	451	2664
145	456	2667
146	459	2663
147	461	2657
148	463	2649
149	466	2640
150	468	2632
151	470	2624
152	472	2617
153	475	2614
154	478	2606
155	480	2600
156	483	2593
157	485	2588
158	488	2583
159	490	2576
160	493	2570
161	496	2566
162	498	2560
163	500	2552
164	503	2546
165	505	2539
166	507	2532
167	509	2524
168	512	2518
169	516	2521
170	519	2516
171	521	2512
172	523	2502
173	525	2496
174	528	2489
175	530	2482
176	532	2475
177	535	2472
178	538	2469
179	541	2465
180	543	2459
181	546	2455
182	548	2450
183	551	2446
184	555	2446
185	558	2442
186	560	2435
187	562	2428
188	564	2421
189	566	2416
190	568	2409
191	570	2402
192	573	2396
193	576	2395
194	579	2392
195	582	2387
196	584	2383
197	587	2379
198	589	2372
199	591	2366
200	594	2362
201	597	2358
202	599	2354
203	601	2348
204	604	2343
205	606	2337
206	608	2331
207	611	2326
208	613	2322
209	616	2319
210	619	2316
211	622	2311
212	624	2305
213	626	2299
214	628	2293
215	630	2288
216	632	2282
217	634	2277
218	637	2273
219	639	2267
220	641	2262
221	644	2258
222	647	2254
223	649	2251
224	652	2246
225	654	2241
226	656	2237
227	659	2231
228	661	2226
229	663	2221
230	665	2215
231	667	2209
232	669	2204
233	671	2198
234	674	2194
235	676	2191
236	678	2185
237	681	2181
238	683	2177
239	685	2172
240	687	2166
241	689	2160
242	691	2154
243	693	2149
244	696	2147
245	699	2143
246	702	2140
247	704	2136
248	707	2133
249	709	2129
250	712	2126
251	716	2126
252	717	2119
253	720	2115
254	721	2107
255	723	2102
256	725	2098
257	727	2093
258	730	2088
259	732	2084
260	735	2081
261	737	2077
262	740	2074
263	742	2070
264	745	2067
265	747	2061
266	749	2056
267	751	2051
268	754	2049
269	756	2046
270	759	2042
271	760	2036
272	763	2033
273	766	2030
274	769	2027
275	771	2024
276	775	2025
277	778	2023
278	781	2019
279	784	2016
280	786	2012
281	788	2007
282	791	2004
283	793	2000
284	795	1995
285	797	1991
286	800	1987
287	802	1983
288	803	1977
289	805	1971
290	807	1968
291	810	1964
292	812	1959
293	815	1957
294	817	1954
295	819	1948
296	821	1943
297	823	1940
298	825	1935
299	828	1932
300	830	1928
301	832	1924
302	835	1921
303	838	1919
304	840	1915
305	842	1911
306	845	1907
307	847	1903
308	848	1898
309	850	1893
310	852	1889
311	856	1887
312	858	1884
313	861	1881
314	863	1877
315	865	1874
316	868	1870
317	870	1867
318	873	1865
319	876	1863
320	878	1858
321	881	1855
322	883	1851
323	885	1846
324	887	1843
325	889	1838
326	890	1832
327	892	1828
328	896	1828
329	899	1825
330	901	1822
331	904	1820
332	907	1816
333	909	1813
334	911	1809
335	914	1806
336	916	1803
337	918	1799
338	920	1794
339	922	1790
340	924	1786
341	926	1783
342	928	1779
343	931	1776
344	933	1772
345	938	1774
346	941	1772
