iter	RMSE
0	34856115.91
1	32409345.48
2	30289421.83
3	28320607.55
4	26601109.83
5	25078396.33
6	23684109.43
7	22348430.19
8	21122125.44
9	20054758.25
10	19068993.51
11	18143171.14
12	17383339.74
13	16704123.31
14	16097131.55
15	15534217.01
16	14994221.59
17	14490240.3
18	14038300.91
19	13603431.91
20	13236564.05
21	12911784.94
22	12596703.24
23	12343315.35
24	12055616.99
25	11808343.58
26	11561311.36
27	11338885.63
28	11121122.97
29	10934081.55
30	10750029.55
31	10554509.73
32	10388208.72
33	10240241.66
34	10075573.31
35	9941078.943
36	9806428.384
37	9661452.873
38	9544348.105
39	9406596.627
40	9311638.794
41	9205365.626
42	9109642.788
43	9013327.095
44	8917309.169
45	8829932.516
46	8772973.986
47	8665306.286
48	8583170.767
49	8503070.489
50	8408151.201
51	8334486.261
52	8235585.825
53	8161661.506
54	8070748.552
55	8015291.014
56	7960787.342
57	7922485.19
58	7865039.772
59	7814147.937
60	7752113.038
61	7682674.171
62	7627554.809
63	7583333.972
64	7543990.124
65	7503256.799
66	7476542.372
67	7434554.062
68	7404341.948
69	7353170.661
70	7314587.143
71	7280760.165
72	7247234.278
73	7185072.239
74	7164475.751
75	7142098.249
76	7112169.514
77	7060667.968
78	7032685.369
79	6989542.207
80	6938682.632
81	6900817.759
82	6844600.781
83	6818795.965
84	6757128.638
85	6715808.612
86	6679279.525
87	6638276.461
88	6615799.231
89	6589613.69
90	6557816.817
91	6525222.797
92	6504696.182
93	6468828.45
94	6447553.289
95	6428607.963
96	6391395.37
97	6361048.972
98	6344288.648
99	6295998.833
100	6268421.992
101	6240423.458
102	6206719.361
103	6166993.351
104	6133814.07
105	6100814.421
106	6076656.94
107	6033769.528
108	5988677.386
109	5940526.49
110	5908518.661
111	5877872.876
112	5853628.603
113	5808302.912
114	5776684.721
115	5752238.698
116	5718781.508
117	5669065.691
118	5647903.1
119	5610276.195
120	5577004.324
121	5540477.658
122	5524854.721
123	5508817.614
124	5484779.131
125	5467689.451
126	5429548.022
127	5378059.372
128	5344059.298
129	5298002.363
130	5254194.569
131	5216503.739
132	5190420.358
133	5147751.044
134	5112608.22
135	5080509.865
136	5045605.987
137	5033362.854
138	5009053.646
139	4967401.743
140	4933583.077
141	4901847.288
142	4883484.506
143	4870780.654
144	4846644.233
145	4819866.809
146	4805336.936
147	4787233.182
148	4766073.192
149	4747528.593
150	4736940.416
151	4717161.811
152	4704135.749
153	4678238.323
154	4665372.299
155	4651353.935
156	4618105.845
157	4600282.758
158	4578854.751
159	4546463.391
160	4526510.272
161	4502050.044
162	4490475.734
163	4477779.386
164	4466011.601
165	4437861.682
166	4422016.922
167	4410098.674
168	4398353.33
169	4378585.981
170	4367051.017
171	4355589.536
172	4344347.53
173	4333640.421
174	4320926.142
175	4306342.806
176	4284309.1
177	4276329.621
178	4256417.941
179	4248096.26
180	4235755.158
181	4222418.889
182	4204409.768
183	4181812.868
184	4168471.297
185	4155700.363
186	4144723.638
187	4127617.756
188	4120727.486
189	4102593.885
190	4092270.127
191	4076978.753
192	4065227.459
193	4045836.098
194	4030702.206
195	4012974.944
196	3997364.404
197	3974868.883
198	3959105.168
199	3941004.802
200	3927019.96
201	3917250.396
202	3905822.882
203	3885747.46
204	3871199.293
205	3858438.956
206	3847689.922
207	3826277.457
208	3814045.47
209	3784873.825
210	3772647.689
211	3762282.982
212	3744621.817
213	3727020.225
214	3705786.574
215	3688064.811
216	3669678.858
217	3655647.839
218	3640481.946
219	3623032.084
220	3611342.656
221	3599570.761
222	3588358.948
223	3570433.896
224	3558825.157
225	3551194.626
226	3539693.409
227	3524397.561
228	3511183.901
229	3501083.676
230	3486254.103
231	3473404.544
232	3455652.502
233	3448367.59
234	3437435.669
235	3420920.21
236	3411111.909
237	3392369.959
238	3385443.061
239	3376177.757
240	3363468.165
241	3350547.737
242	3340007.901
243	3326412.268
244	3320767.809
245	3312035.997
246	3291463.374
247	3283641.59
248	3273281.88
249	3265943.26
250	3256233.526
251	3240712.963
252	3232430.227
253	3225466.623
254	3215061.514
255	3203807.404
256	3190515.374
257	3174569.743
258	3163709.62
259	3156861.895
260	3149861.607
261	3140097.608
262	3118861.071
263	3104947.929
264	3096300.293
265	3087760.545
266	3079338.633
267	3065483.834
268	3058950.478
269	3047595.877
270	3044079.005
271	3029018.661
272	3021678.856
273	3016051.068
274	3009078.223
275	2999056.103
276	2988704.376
277	2977187.296
278	2963307.26
279	2955842.766
280	2942933.948
281	2934771.587
282	2927551.338
283	2915837.548
284	2902123.351
285	2893227.036
286	2887012.648
287	2877813.369
288	2871010.154
289	2865405.064
290	2857637.356
291	2844916.263
292	2837064.51
293	2829257.355
294	2825040.891
295	2818599.778
296	2810728.133
297	2807006.992
298	2796878.008
299	2791457.61
300	2790780.59
301	2784314.331
302	2776437.574
303	2763858.086
304	2755887.12
305	2749226.471
306	2742382.351
307	2731540.752
308	2721437.561
309	2715218.576
310	2705905.127
311	2697475.697
312	2685907.673
313	2678478.142
314	2667850.114
315	2657692.015
316	2651410.903
317	2643540.147
318	2638365.043
319	2635183.613
320	2631357.003
321	2623402.727
322	2617258.792
323	2610184.313
324	2599644.734
325	2594802.395
326	2584914.215
327	2581221.544
328	2570834.051
329	2564591.411
330	2555950.849
331	2554503.177
332	2546843.786
333	2541713.933
334	2536917.608
335	2530627.516
336	2524463.11
337	2522239.93
338	2516083.505
339	2508783.979
