iter	Passed	Remaining
0	40	40516
1	81	40604
2	122	40586
3	164	40950
4	209	41621
5	250	41497
6	292	41446
7	337	41818
8	379	41811
9	423	41888
10	465	41879
11	507	41824
12	552	41916
13	594	41867
14	638	41952
15	681	41897
16	725	41947
17	767	41857
18	810	41847
19	855	41941
20	901	42021
21	944	41986
22	987	41940
23	1029	41872
24	1072	41825
25	1115	41791
26	1160	41829
27	1204	41826
28	1249	41824
29	1292	41798
30	1336	41777
31	1378	41699
32	1422	41673
33	1464	41619
34	1509	41613
35	1551	41536
36	1594	41496
37	1636	41422
38	1679	41391
39	1723	41356
40	1767	41334
41	1809	41284
42	1852	41233
43	1894	41159
44	1938	41134
45	1981	41095
46	2023	41024
47	2067	41007
48	2110	40960
49	2154	40937
50	2197	40884
51	2240	40841
52	2282	40779
53	2324	40727
54	2369	40715
55	2414	40707
56	2457	40661
57	2502	40641
58	2547	40632
59	2593	40625
60	2639	40625
61	2683	40592
62	2726	40557
63	2769	40503
64	2815	40505
65	2857	40439
66	2903	40425
67	2946	40382
68	2989	40330
69	3034	40309
70	3077	40266
71	3121	40235
72	3165	40200
73	3207	40141
74	3253	40132
75	3296	40083
76	3338	40023
77	3381	39974
78	3425	39937
79	3469	39902
80	3513	39862
81	3557	39831
82	3602	39805
83	3647	39771
84	3690	39732
85	3735	39699
86	3781	39686
87	3824	39637
88	3870	39622
89	3917	39607
90	3966	39621
91	4013	39606
92	4060	39597
93	4108	39598
94	4157	39605
95	4209	39638
96	4258	39639
97	4303	39613
98	4349	39588
99	4400	39607
100	4448	39591
101	4491	39541
102	4538	39523
103	4582	39478
104	4629	39458
105	4681	39479
106	4728	39462
107	4776	39448
108	4822	39424
109	4866	39377
110	4915	39366
111	4959	39322
112	5003	39277
113	5047	39232
114	5094	39207
115	5140	39171
116	5187	39150
117	5236	39137
118	5281	39098
119	5327	39071
120	5374	39045
121	5419	39003
122	5463	38956
123	5508	38912
124	5556	38892
125	5603	38865
126	5652	38853
127	5695	38803
128	5742	38770
129	5786	38727
130	5833	38696
131	5881	38675
132	5929	38654
133	5975	38619
134	6020	38574
135	6065	38533
136	6112	38501
137	6160	38479
138	6208	38456
139	6254	38420
140	6299	38380
141	6343	38329
142	6388	38286
143	6433	38242
144	6475	38185
145	6520	38139
146	6565	38099
147	6607	38036
148	6651	37986
149	6693	37929
150	6738	37887
151	6782	37841
152	6828	37802
153	6875	37773
154	6921	37730
155	6967	37695
156	7011	37647
157	7056	37604
158	7100	37554
159	7146	37518
160	7190	37470
161	7233	37418
162	7278	37372
163	7325	37344
164	7370	37298
165	7415	37258
166	7462	37222
167	7507	37180
168	7551	37129
169	7594	37078
170	7637	37028
171	7681	36977
172	7724	36924
173	7766	36866
174	7808	36813
175	7857	36787
176	7905	36759
177	7952	36722
178	7998	36684
179	8041	36634
180	8086	36588
181	8137	36573
182	8189	36559
183	8233	36513
184	8278	36469
185	8323	36426
186	8372	36399
187	8418	36359
188	8462	36312
189	8508	36271
190	8558	36248
191	8606	36220
192	8651	36174
193	8700	36147
194	8744	36099
195	8790	36059
196	8837	36022
197	8885	35990
198	8930	35944
199	8978	35915
200	9025	35876
201	9068	35824
202	9113	35779
203	9160	35742
204	9207	35706
205	9252	35661
206	9300	35628
207	9345	35586
208	9390	35539
209	9440	35513
210	9487	35478
211	9533	35434
212	9582	35406
213	9628	35365
214	9677	35333
215	9725	35300
216	9773	35265
217	9818	35221
218	9863	35174
219	9909	35133
220	9955	35093
221	10000	35047
222	10049	35014
223	10094	34970
224	10141	34932
225	10189	34897
226	10234	34851
227	10280	34809
228	10325	34762
229	10368	34710
230	10414	34668
231	10457	34618
232	10505	34582
233	10552	34544
234	10599	34503
235	10644	34459
