longitude,latitude
37.58742,55.76307
37.58715,55.76273
37.58697,55.7625
37.58676,55.76225
37.58671,55.76218
37.58637,55.7617
37.58632,55.76161
37.58626,55.76154
37.58613,55.76138
37.58582,55.76097
37.58545,55.76045
37.58536,55.76031
37.58526,55.76013
37.58522,55.76007
37.58513,55.75993
37.58489,55.75953
37.58481,55.7594
37.58477,55.75932
37.58475,55.75929
37.58459,55.75905
37.58452,55.75894
37.58449,55.75883
37.58446,55.75876
37.58444,55.7587
37.58437,55.75846
37.58426,55.75801
37.58414,55.75747
37.58411,55.75728
37.58403,55.7568
37.58395,55.75642
37.58395,55.75638
37.58376,55.75536
37.58369,55.75509
37.58365,55.75497
37.58356,55.75419
37.58333,55.75297
37.58325,55.75261
37.58322,55.75249
37.58321,55.75244
37.58313,55.75201
37.5831,55.75183
37.58304,55.75147
37.58301,55.75129
37.58284,55.75019
37.58282,55.75001
37.58278,55.7499
37.58271,55.74979
37.58269,55.74961
37.58268,55.74939
37.58264,55.74916
37.5826,55.74893
37.58259,55.74883
37.58255,55.74857
37.58255,55.74843
37.58243,55.74794
37.58243,55.74782
37.58242,55.74756
37.5824,55.74742
37.58236,55.74718
37.58235,55.74707
37.58231,55.74696
37.58231,55.74672
37.58236,55.74654
37.5824,55.7464
37.58243,55.74634
37.58256,55.74603
37.58265,55.74584
37.58269,55.74575
37.58284,55.74547
37.58288,55.74538
37.58323,55.74464
37.5833,55.74446
37.58341,55.74421
37.58353,55.74392
37.58358,55.7438
37.58377,55.74335
37.584,55.74283
37.58403,55.74272
37.58409,55.74253
37.58418,55.74229
37.58429,55.74199
37.58443,55.74167
37.58455,55.74134
37.58464,55.74113
37.58472,55.74095
37.58482,55.74067
37.58497,55.74033
37.5851,55.74003
37.58512,55.74
37.58549,55.73938
37.58565,55.73914
37.58581,55.7389
37.58593,55.73871
37.58596,55.73866
37.58598,55.73863
37.58602,55.7386
37.58604,55.73858
37.58615,55.7385
37.58641,55.73836
37.58662,55.73826
37.58712,55.73802
37.58728,55.73795
37.58735,55.73792
37.58764,55.73781
37.58798,55.73767
37.58851,55.73747
37.58872,55.7374
37.5888,55.73736
37.58892,55.73732
37.5893,55.73717
37.58977,55.737
37.5901,55.73687
37.59063,55.73666
37.59107,55.73651
37.59138,55.73639
37.59165,55.73629
37.59176,55.73624
37.59195,55.73616
37.59201,55.73614
37.59214,55.7361
37.5922,55.73608
37.5924,55.73602
37.5925,55.73599
37.59277,55.73589
37.59287,55.73586
37.59295,55.73584
37.59308,55.73579
37.59318,55.73575
37.59346,55.73565
37.59354,55.73565
37.59357,55.73564
37.59362,55.73563
37.59366,55.73562
37.59375,55.7356
37.59394,55.73554
37.59447,55.73538
37.59456,55.73535
37.59533,55.73511
37.5956,55.73501
37.59611,55.73482
37.59712,55.73447
37.59713,55.73446
37.59789,55.73424
37.59876,55.73398
37.59937,55.73379
37.59965,55.73371
37.59965,55.7337
37.60017,55.73354
37.60046,55.73345
37.60076,55.73336
37.60371,55.73242
37.60482,55.73206
37.60497,55.73202
37.60523,55.73194
37.60574,55.73177
37.60616,55.73162
37.60674,55.73144
37.60753,55.73118
37.60838,55.7309
37.60888,55.73075
37.60996,55.73041
37.61019,55.73034
37.61045,55.73026
37.61076,55.73018
37.61103,55.73011
37.61127,55.73006
37.61137,55.73004
37.612,55.7299
37.61242,55.72983
37.61289,55.72976
37.6133,55.72972
37.61397,55.72966
37.61426,55.72964
37.61458,55.72963
37.61518,55.72962
37.61578,55.72961
37.61654,55.72962
37.61795,55.72965
37.61816,55.72965
37.61848,55.72964
37.61877,55.72965
37.6188,55.72965
37.62007,55.72966
37.62311,55.72971
37.62394,55.72973
37.62477,55.72976
37.62534,55.72979
37.62611,55.72985
