latitude,longitude
55.731745,37.507074
55.729132,37.600604
55.794768,37.676315
55.751907,37.616804
55.715365,37.551992
55.778594,37.635100
55.775018,37.782210
55.770622,37.609379
55.836380,37.607266
55.820943,37.545384
55.7336699794347,37.79323414905279
55.66453,37.66798
55.63998,37.56693
55.61425,37.56419
55.66665,37.53322
55.71964,37.47478
55.65157,37.46042
55.63512,37.49242
55.66812,37.37058
55.75139,37.46506
55.76406,37.42443
55.77811,37.43208
55.79414,37.44103
55.79621,37.41523
55.82345,37.47618
55.76889,37.54906
55.59705,37.68144
55.63204,37.69991
55.69022,37.78201
55.66974,37.83495
55.69321,37.83935
55.73213,37.88716
55.83876,37.7086
55.86841,37.44954
55.91426,37.51101
55.8932,37.42013
55.80111,37.94395
55.58118,37.55436
55.69499,37.25182
