latitude,longitude
55.977886,37.153705
55.979148,37.172101
55.889568,37.388672
55.916427,37.757751
55.891880,37.748706
55.589058,38.132394
55.846321,38.457638
55.635479,37.850639
55.669848,37.871276
55.569924,37.579677
55.753219,37.857877
55.611953,37.605611
55.870325,37.663668
55.788394,37.678338
55.762553,37.623099
55.754214,37.512144
55.708080,37.593082
55.732298,37.675365
55.744403,37.565969
55.586070,37.724315
55.611014,37.295856
55.615079,36.988246
55.819335,37.577736
56.008464,37.485825
55.927976,37.795061
